Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Year,Type of Breach,Primary Breach Type,Location of Breached Information,Business Associate Present,Status,cluster
"U.S. Drug Mart, Inc.",TX,Healthcare Provider,48261.0,2023-11-21,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,0
"TGI Direct, Inc.",MI,Business Associate,16113.0,2023-11-21,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,3
"Detroit Chassis, LLC",MI,Health Plan,958.0,2023-11-21,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,2
Proliance Surgeons,WA,Healthcare Provider,437392.0,2023-11-20,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
1st Source Bank,IN,Business Associate,1477.0,2023-11-20,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,3
Jacksonville Children's and Multispecialty Clinic,NC,Healthcare Provider,40000.0,2023-11-17,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
"CKF Addiction Treatment, Inc.",KS,Healthcare Provider,501.0,2023-11-17,2023,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
"Community Health Network, Inc.",IN,Healthcare Provider,20777.0,2023-11-17,2023,Hacking/IT Incident,Hacking/IT Incident,"Email, Other",No,Archived,0
California Physicians’ Service d/b/a Blue Shield of California,CA,Health Plan,636849.0,2023-11-17,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,2
Psychiatry Associates of Kansas City,KS,Healthcare Provider,18255.0,2023-11-17,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
Blue Shield of California OR Blue Shield of California Promise Health Plan,CA,Business Associate,27832.0,2023-11-17,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,3
Wyoming County Community Health System,NY,Healthcare Provider,26000.0,2023-11-16,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
State of Maine,ME,Health Plan,376504.0,2023-11-16,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,2
Rock Valley Physical Therapy Center,IL,Healthcare Provider,2421.0,2023-11-16,2023,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Email,No,Archived,1
"CareTree, Inc.",IL,Business Associate,15846.0,2023-11-15,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,3
Westside Community Services,CA,Healthcare Provider,2484.0,2023-11-15,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
International Paper Company Group Health and Welfare Plan,TN,Health Plan,78692.0,2023-11-14,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,2
Medical College of Wisconsin,WI,Healthcare Provider,240667.0,2023-11-14,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
"Medical Eye Services, Inc.",NY,Business Associate,377931.0,2023-11-14,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,3
Endocrine and Psychiatry Center,TX,Healthcare Provider,28531.0,2023-11-14,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
Southwest Behavioral Health Center,UT,Healthcare Provider,17147.0,2023-11-13,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
Medical University of South Carolina,SC,Healthcare Provider,1758.0,2023-11-13,2023,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Network Server,No,Archived,1
"CBIZ KA Consulting Services, LLC",NJ,Business Associate,436198.0,2023-11-10,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,3
Woodfords Family Services,ME,Healthcare Provider,6691.0,2023-11-10,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
"Southland Integrated Services, Inc.",CA,Healthcare Provider,7988.0,2023-11-10,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
Warren General Hospital,PA,Healthcare Provider,168921.0,2023-11-09,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
Mariner Management Group,OH,Healthcare Provider,1756.0,2023-11-08,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
BBRx Pharmacy,NY,Healthcare Provider,8786.0,2023-11-07,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
Mannings 8th Ave Inc.,NY,Healthcare Provider,5796.0,2023-11-07,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
Confucius Pharmacy,NY,Healthcare Provider,501.0,2023-11-07,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
"Pharmacy Group of Mississippi, LLC",MS,Healthcare Provider,13129.0,2023-11-07,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
Boomerang Healthcare,CA,Healthcare Provider,1204.0,2023-11-07,2023,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Email,No,Archived,1
"Prestige Care, Inc.",WA,Healthcare Provider,116956.0,2023-11-06,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
"Welltok, Inc.",CO,Business Associate,14782887.0,2023-11-06,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,3
Wyndemere Senior Care LLC,IL,Healthcare Provider,6832.0,2023-11-06,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
WellLife Network Inc.,NY,Healthcare Provider,43875.0,2023-11-06,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
Healthsoft LLC,GA,Business Associate,1000.0,2023-11-06,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,3
Financial Asset Management Systems,GA,Business Associate,164796.0,2023-11-04,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,3
Mayo Clinic,MN,Healthcare Provider,1152.0,2023-11-03,2023,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Network Server,No,Archived,1
Sutter Health,CA,Healthcare Provider,845441.0,2023-11-03,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,0
South Austin Health Imaging LLC dba Longhorn Imaging Center,TX,Healthcare Provider,100645.0,2023-11-03,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,0
"Perry Johnson & Associates, Inc. dba PJ&A",NV,Business Associate,9302588.0,2023-11-03,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,3
Catholic Charities of the Diocese of Rockville Centre d/b/a Catholic Charities of Long Island,NY,Healthcare Provider,13000.0,2023-11-03,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
"Youth and Shelter Services, Inc.",IA,Healthcare Provider,13603.0,2023-11-03,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
WACOSA,MN,Healthcare Provider,1380.0,2023-11-03,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
"Westat, Inc.",MD,Business Associate,20045.0,2023-11-03,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,3
Life Generations Healthcare LLC,CA,Healthcare Provider,5832.0,2023-11-03,2023,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
"Mulkay Cardiology Consultants at Holy Name Medical Center, P.C.",NJ,Healthcare Provider,79582.0,2023-11-03,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
Rebekah Children’s Services,CA,Healthcare Provider,2033.0,2023-11-03,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
"Postmeds, Inc.",CA,Healthcare Provider,2369026.0,2023-10-30,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,0
Longhorn Village,TX,Healthcare Provider,1670.0,2023-10-30,2023,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
"Frederiksted Health Care, Inc.",,Healthcare Provider,600.0,2023-10-30,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
Northern Iowa Therapy PC,IA,Business Associate,5112.0,2023-10-29,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,3
"JDA eHealth Systems, Inc. d/b/a Parathon",IL,Business Associate,8099.0,2023-10-27,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,3
PeakMed,CO,Healthcare Provider,27800.0,2023-10-27,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
Pause Pain & Wellness,MS,Healthcare Provider,777.0,2023-10-27,2023,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Email,Yes,Archived,1
Cadence Bank,MS,Business Associate,13862.0,2023-10-27,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,3
Hospital Sisters Health System,IL,Business Associate,500.0,2023-10-26,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,3
"Greater Rochester Independent Practice Association, Inc.",NY,Healthcare Provider,279156.0,2023-10-26,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
Western Washington Medical Group,MS,Healthcare Provider,350863.0,2023-10-26,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
"Fredericksburg Foot & Ankle Center, PLC",VA,Healthcare Provider,14912.0,2023-10-25,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
"Edward C. Taylor, PhD",FL,Healthcare Provider,6684.0,2023-10-25,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
LCS Financial Services,CO,Business Associate,768.0,2023-10-24,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,3
"MNGI Digestive Health, PA",MN,Healthcare Provider,767670.0,2023-10-24,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
eleHealth,LA,Business Associate,2187.0,2023-10-24,2023,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Paper/Films,Yes,Archived,3
University of Michigan,MI,Healthcare Provider,61033.0,2023-10-23,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
Dakota Eye Institute,ND,Healthcare Provider,107143.0,2023-10-23,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
La Red Health Center,DE,Healthcare Provider,39759.0,2023-10-20,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
McLaren Health Care,MI,Healthcare Provider,2103881.0,2023-10-20,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
Morrison Child and Family Services,OR,Healthcare Provider,2044.0,2023-10-20,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
City of Philadelphia,PA,Health Plan,6107.0,2023-10-20,2023,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,2
Radius Global Solutions,PA,Business Associate,135742.0,2023-10-19,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,3
Counseling and Recovery Services of Oklahoma,OK,Healthcare Provider,3365.0,2023-10-19,2023,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
"Hospital & Medical Foundation of Paris, Inc d/b/a Horizon Health",IL,Healthcare Provider,16598.0,2023-10-19,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,0
Napa Integrated Medicine PC,CA,Business Associate,600.0,2023-10-19,2023,Theft,Theft,Desktop Computer,Yes,Archived,3
Oscar Insurance Company of Florida,NY,Health Plan,1399.0,2023-10-19,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,2
"Singing River Health System and its wholly owned subsidiary, Singing River Gulfport",MS,Healthcare Provider,895204.0,2023-10-18,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
BHI Energy Health and Welfare Benefits Plan,MA,Health Plan,4049.0,2023-10-18,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,2
Helping the Aging Needy and Disabled Inc,TX,Healthcare Provider,628.0,2023-10-18,2023,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
Peerstar LLC,PA,Healthcare Provider,11438.0,2023-10-16,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
Pacific Clear Vision Institute,OR,Healthcare Provider,626.0,2023-10-15,2023,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Email,No,Archived,1
"Westat, Inc.",MD,Business Associate,51513.0,2023-10-13,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,3
Atlas Healthcare Group,CT,Healthcare Provider,10831.0,2023-10-13,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
NASCO,GA,Business Associate,1744655.0,2023-10-10,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,3
"BHS Physician Network, Inc.",TX,Healthcare Provider,1857.0,2023-10-10,2023,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
Data Media Associates,GA,Business Associate,2035.0,2023-10-09,2023,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Paper/Films,Yes,Archived,3
Fellowship Village,NJ,Healthcare Provider,501.0,2023-10-08,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
Brooklyn Premier Orthopedics,NY,Healthcare Provider,48459.0,2023-10-06,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
"Neurovative Diagnostics, LLC",TX,Healthcare Provider,1599.0,2023-10-05,2023,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Email,No,Archived,1
Carle Health,IL,Healthcare Provider,679.0,2023-10-05,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,0
Responsive Care Solutions,FL,Business Associate,5200.0,2023-10-05,2023,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Paper/Films,Yes,Archived,3
Region 4 South Mental Health Consortium,MN,Healthcare Provider,677.0,2023-10-05,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
Walmart Associates Health and Welfare Plan,AR,Health Plan,85952.0,2023-10-04,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,2
Borgfeld Dental Center PLLC dba Henwood Family Dentistry,TX,Healthcare Provider,7300.0,2023-10-02,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
"Arietis Health, LLC",FL,Business Associate,1975066.0,2023-09-29,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,3
"Prospect Medical Holdings, Inc.",CA,Business Associate,1309096.0,2023-09-29,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,3
"Piedmont Healthcare, Inc.",GA,Healthcare Provider,895.0,2023-09-29,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,0
Valley Mountain Regional Center,CA,Business Associate,126679.0,2023-09-29,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,3
"H3- Hope, Healing, Health Inc.",MI,Healthcare Provider,1586.0,2023-09-29,2023,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
"Physio Logic Medicine, PC",NY,Healthcare Provider,1280.0,2023-09-29,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
International Business Machines Corporation,NY,Business Associate,630755.0,2023-09-29,2023,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Other,Yes,Archived,3
Gillette Children's Specialty Healthcare,MN,Healthcare Provider,542.0,2023-09-29,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,0
"Physio Logic Chiropractic and Physical Therapy, PLLC and Dr. Patty DiBlasio, PC",NY,Healthcare Provider,9580.0,2023-09-29,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
Mt. Graham Regional Medical Center,AZ,Healthcare Provider,35688.0,2023-09-29,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
"Georgia Northside Ear, Nose, and Throat, LLC.",TX,Healthcare Provider,37774.0,2023-09-29,2023,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
Greater Dallas Healthcare Enterprises,TX,Healthcare Provider,143833.0,2023-09-29,2023,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
South Florida Behavioral Health Network dba Thriving Mind South Florida,FL,Business Associate,258126.0,2023-09-29,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,3
"Acadia Health, LLC d/b/a Just Kids Dental",AL,Healthcare Provider,129463.0,2023-09-27,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
"Hospice of the Bluegrass, Inc. dba Bluegrass Care Navigators",KY,Healthcare Provider,7664.0,2023-09-26,2023,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
"Entertainment Community Fund, dba Actors Fund Home",NJ,Healthcare Provider,1110.0,2023-09-26,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
"AIDS Alabama, Inc.",AL,Healthcare Provider,1922.0,2023-09-26,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
Community First Medical Center,IL,Healthcare Provider,216047.0,2023-09-26,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
Riverdale Mental Health d/b/a Mosaic Mental Health,NY,Healthcare Provider,7281.0,2023-09-25,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
"Tangoe, Inc.",IN,Health Plan,4765.0,2023-09-25,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,2
Cook County Health and Hospitals System,IL,Healthcare Provider,1248546.0,2023-09-24,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,0
"Navvis & Company, LLC",MO,Business Associate,2824726.0,2023-09-22,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,3
"OrthoAlaska, LLC",AK,Healthcare Provider,176203.0,2023-09-22,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
"Allegheny County, Pennsylvania",PA,Business Associate,1505.0,2023-09-22,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,3
Blue Cross Blue Shield of Texas,IL,Business Associate,3708.0,2023-09-22,2023,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Paper/Films,Yes,Archived,3
Clover Health LLC,NJ,Health Plan,2834.0,2023-09-22,2023,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Network Server,No,Archived,2
Indiana University Health,IN,Healthcare Provider,4194.0,2023-09-22,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,0
"Health First, Inc.",FL,Healthcare Provider,14171.0,2023-09-22,2023,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
Wellstar Health System,GA,Healthcare Provider,779.0,2023-09-21,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,0
Lakeview Clinic,MN,Healthcare Provider,624.0,2023-09-21,2023,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Email,No,Archived,1
"Arkansas Total Care, Inc.",AR,Health Plan,578.0,2023-09-21,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,2
Elevate Patient Financial Solutions,TX,Business Associate,5364.0,2023-09-20,2023,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Paper/Films,Yes,Archived,3
Virginia Department of Medical Assistance Services,VA,Health Plan,1229333.0,2023-09-18,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,2
